image,caption
zara_01.jpg,a red cardigan sweater with argyles and argyles
zara_02.jpg,the linen jumpsuit in beige
zara_03.jpg,a woman wearing a yellow top with a black zipper
zara_04.jpg,a woman in a pink sweater and brown pants
zara_05.jpg,a white plea skirt with a black waistband
zara_06.jpg,a brown jacket with a pepo collar and a pepo pepo pepo pepo pepo
zara_07.jpg,a black t - shirt with a round neck and short sleeves
zara_08.jpg,a model in a white jumpsuit
zara_09.jpg,a picture of a beige shorts with zippers
zara_10.jpg,a black trousers with a belt and a black belt
zara_11.jpg,a model in a pink dress with ru ruting
zara_12.jpg,a woman in a red dress
zara_13.jpg,a woman in a striped skirt and sandals
zara_14.jpg,a woman in a blue and white striped dress is walking on a bench
zara_15.jpg,a woman wearing a blue and white striped shirt
zara_16.jpg,striped crop top
zara_17.jpg,a blue and white striped bikini top
zara_18.jpg,a woman in a blue suit standing in front of a bush
zara_19.jpg,a woman wearing a denim pants with a white background
zara_20.jpg,striped crop top
zara_21.jpg,a woman in a blue dress
zara_22.jpg,a woman standing on the beach in a dress
zara_23.jpg,a model walks down the runway at the alexander saki show
zara_24.jpg,a white top with a pleaed skirt
zara_25.jpg,girls ' ginna dress
zara_26.jpg,red gingh skirt
zara_27.jpg,a red sweater with a white stripe on the front
zara_28.jpg,a brown sweater with white pips and a white pips
zara_29.jpg,a pair of jeans with a wide waistband and a wide waistband
zara_30.jpg,a white and black polka dot print sun hat
zara_31.jpg,a blue sweater with ru detailing
zara_32.jpg,leopard print bucket hat
zara_33.jpg,"a green top with a small, curved neck"
zara_34.jpg,a blue vest with a white collar and a white shirt
zara_35.jpg,a woman wearing a red and white checkered top
zara_36.jpg,a brown cardigan sweater with buttons
zara_37.jpg,a woman wearing a grey top with ruting
zara_38.jpg,a blue skirt with plea detailing
zara_39.jpg,a brown jacket with a button closure
zara_40.jpg,a yellow cardigan sweater with a pattern
zara_41.jpg,red cardigan sweater for women ken
zara_42.jpg,a blue and white striped shorts with a white waistband
zara_43.jpg,a white skirt with a ru ru ru ru
zara_44.jpg,a white shorts with a belt and a belt
zara_45.jpg,a woman wearing a beige pants with a black belt
zara_46.jpg,a navy sweater with a round neck and short sleeves
zara_47.jpg,striped sweatshirt with logo
zara_48.jpg,a blue sweatshirt with a white logo on the front
zara_49.jpg,a pair of brown sued shoes on a white surface
zara_50.jpg,percado percado percado percado percado percado perca
zara_51.jpg,the classic ballet shoe in beige sued
zara_53.jpg,t - shirt with short sleeves
