image,caption,keywords
zara_01.jpg,an orange cardigan sweater with argyles,"['cardigan', 'sweater', 'argyle']"
zara_02.jpg,the sleeveless linen jumpsuit in beige,"['sleeveless', 'linen', 'jumpsuit', 'beige']"
zara_03.jpg,a woman wearing a knit sleeveless yellow top with a black zipper,"['woman', 'sleeveless', 'yellow', 'top', 'black', 'zipper']"
zara_04.jpg,a woman in a body hugging knit pink sweater and brown pants,"['woman', 'body', 'pink', 'sweater', 'brown', 'pant']"
zara_05.jpg,a mini white pleated skirt with a black waistband,"['mini', 'white', 'pleated', 'skirt', 'black', 'waistband']"
zara_06.jpg,a knit peplum brown jacket with a peterpan collar,"['knit', 'peplum', 'brown', 'jacket', 'peterpan', 'collar']"
zara_07.jpg,a black t - shirt with a round neck and short sleeves,"['black', 'shirt', 'round', 'neck', 'short', 'sleeve']"
zara_08.jpg,a model in a white shorts jumpsuit,"['model', 'white', 'short', 'jumpsuit']"
zara_09.jpg,a picture of a beige balloon shorts with zippers,"['picture', 'beige', 'balloon', 'short', 'zipper']"
zara_10.jpg,black trousers,"['black', 'trouser']"
zara_11.jpg,a model in a pink mini dress with layered ruffles,"['model', 'pink', 'mini', 'dress', 'layered', 'ruffle']"
zara_12.jpg,a woman in a red spaghetti-strap dress,"['woman', 'red', 'spaghetti', 'strap', 'dress']"
zara_13.jpg,a woman in a midi striped skirt and sandals,"['woman', 'striped', 'skirt', 'sandal']"
zara_14.jpg,a woman in a blue and white striped shirt dress,"['woman', 'blue', 'white', 'striped', 'shirt', 'dress']"
zara_15.jpg,a woman wearing a blue and white striped shirt,"['woman', 'blue', 'white', 'striped', 'shirt']"
zara_16.jpg,a blue and white striped spaghetti-strap top,"['blue', 'white', 'spaghetti', 'strap', 'top']"
zara_17.jpg,a striped blue halter top,"['striped', 'blue', 'halter', 'top']"
zara_18.jpg,a woman in a blue blazer and blue pants standing in front of a bush,"['woman', 'blue', 'blazer', 'blue', 'pant', 'front', 'bush']"
zara_19.jpg,wide leg denim pants,"['leg', 'pant']"
zara_20.jpg,striped blue and white spaghetti strap crop top,"['blue', 'white', 'spaghetti', 'strap', 'crop', 'top']"
zara_21.jpg,a woman in a blue spaghetti strap dress,"['woman', 'blue', 'spaghetti', 'strap', 'dress']"
zara_22.jpg,a woman standing on the beach in a printed spaghetti strap dress,"['woman', 'beach', 'spaghetti', 'strap', 'dress']"
zara_23.jpg,a model walks down the runway at the fashion show wearing a mini white asymmetrical dress with ruffles,"['model', 'runway', 'fashion', 'show', 'mini', 'white', 'asymmetrical', 'dress', 'ruffle']"
zara_24.jpg,a sleeveless white mini dress with a layered pleated skirt,"['sleeveless', 'white', 'mini', 'dress', 'layered', 'pleated', 'skirt']"
zara_25.jpg,sleeveless red gingham dress,"['sleeveless', 'red', 'dress']"
zara_26.jpg,red midi gingham skirt,[]
zara_27.jpg,an orange sweater with a white piping on the front,"['orange', 'sweater', 'white', 'piping', 'front']"
zara_28.jpg,a brown sweater with white piping,"['brown', 'sweater', 'white', 'piping']"
zara_29.jpg,a pair of barrel leg jeans with a wide waistband,"['pair', 'barrel', 'leg', 'jean', 'wide', 'waistband']"
zara_30.jpg,a white and black polka dot print sun hat,"['white', 'black', 'polka', 'dot', 'print', 'sun', 'hat']"
zara_31.jpg,a knit body hugging blue sweater with ruched detailing,"['body', 'blue', 'sweater']"
zara_32.jpg,leopard print bucket hat,"['bucket', 'hat']"
zara_33.jpg,a green strapless top,"['green', 'strapless', 'top']"
zara_34.jpg,a powder blue vest with white layer,"['powder', 'blue', 'vest', 'white', 'layer']"
zara_35.jpg,a woman wearing a red and white gingham ruched cropped top with spaghetti straps,"['woman', 'red', 'white', 'top', 'spaghetti', 'strap']"
zara_36.jpg,a brown knit cardigan sweater with buttons,"['brown', 'cardigan', 'sweater', 'button']"
zara_37.jpg,a woman wearing a knit grey sleeveless top with ruffle details,"['woman', 'grey', 'sleeveless', 'top', 'ruffle', 'detail']"
zara_38.jpg,a light blue skirt with pleated detailing,"['light', 'blue', 'skirt', 'pleated', 'detailing']"
zara_39.jpg,a knit brown jacket with a button closure,"['brown', 'jacket', 'button', 'closure']"
zara_40.jpg,a knit yellow cardigan sweater with gold buttons and pocket details,"['yellow', 'cardigan', 'sweater', 'gold', 'button', 'pocket', 'detail']"
zara_41.jpg,a knit red cardigan sweater with gold buttons and pocket details,"['red', 'cardigan', 'sweater', 'gold', 'button', 'pocket', 'detail']"
zara_42.jpg,a blue and white striped bubble shorts,"['blue', 'white', 'striped', 'bubble', 'short']"
zara_43.jpg,a white mini bubble skirt ,"['white', 'mini', 'bubble', 'skirt']"
zara_44.jpg,a white paperbag shorts with a belt,"['white', 'paperbag', 'belt']"
zara_45.jpg,beige wide leg trousers,"['beige', 'wide', 'leg', 'trouser']"
zara_46.jpg,a navy sweater with a round neck and short sleeves,"['navy', 'sweater', 'round', 'neck', 'short', 'sleeve']"
zara_47.jpg,striped knit black and white stripes long-sleeved shirt,"['knit', 'black', 'white', 'stripe', 'shirt']"
zara_48.jpg,a light blue sweater with a round neck and short sleeves,"['light', 'blue', 'sweater', 'round', 'neck', 'short', 'sleeve']"
zara_49.jpg,a pair of brown suede shoes on a white surface,"['pair', 'brown', 'suede', 'shoe', 'white', 'surface']"
zara_50.jpg,woven pair of light blue ballet flats,"['pair', 'light', 'blue', 'ballet', 'flat']"
zara_51.jpg,ballet shoe in beige suede with ties,"['ballet', 'shoe', 'beige', 'suede', 'tie']"
zara_53.jpg,t - shirt with short sleeves,"['shirt', 'short', 'sleeve']"
